ALL,MEDIAN_INCOME
2023,"80,610"
2022,"74,580"
2021,"70,780"
2020 (41),"68,010"
2019,"68,700"
2018,"63,180"
2017 (40),"61,140"
2017,"61,370"
2016,"59,040"
2015,"56,520"
2014,"53,660"
2013 (39),"53,590"
2013 (38),"51,940"
2012,"51,020"
2011,"50,050"
2010 (37),"49,280"
2009 (36),"49,780"
2008,"50,300"
2007,"50,230"
2006,"48,200"
2005,"46,330"
2004 (35),"44,330"
2003,"43,320"
2002,"42,410"
2001,"42,230"
2000 (30),"41,990"
1999 (29),"40,700"
1998,"38,890"
1997,"37,010"
1996,"35,490"
1995 (25),"34,080"
1994 (24),"32,260"
1993 (23),"31,240"
1992 (22),"30,640"
1991,"30,130"
1990,"29,940"
1989,"28,910"
1988,"27,230"
1987 (21),"26,060"
1986,"24,900"
1985 (20),"23,620"
1984 (19),"22,420"
1983,"20,890"
1982,"20,170"
1981,"19,070"
1980,"17,710"
1979 (18),"16,460"
1978,"15,060"
1977,"13,570"
1976 (17),"12,690"
1975 (16),"11,800"
1974 (16)(15),"11,200"
1973,"10,510"
1972 (14),"9,697"
1971 (13),"9,028"
1970,"8,734"
1969,"8,389"
1968,"7,743"
1967 (12),"7,143"
